order_status,country,customer_type,year_month,net_revenue
Cancelled,China,Repeat,2023-05-01,0.0
Complete,China,Repeat,2023-03-01,0.02
Complete,United States,Repeat,2023-12-01,0.02
Shipped,Japan,One-Time,2023-12-01,0.02
Shipped,United Kingdom,Repeat,2022-06-01,0.02
Shipped,United States,One-Time,2023-09-01,0.02
Complete,Brasil,Repeat,2021-10-01,0.49
Complete,Brasil,One-Time,2022-03-01,0.49
Shipped,China,One-Time,2023-10-01,0.49
Shipped,Brasil,One-Time,2024-01-01,0.49
Cancelled,Brasil,One-Time,2023-03-01,0.0
Cancelled,United States,One-Time,2020-06-01,0.0
Complete,Brasil,Repeat,2023-02-01,1.5
Complete,China,Repeat,2022-10-01,1.5
Complete,Brasil,One-Time,2022-10-01,1.5
Processing,United States,Repeat,2024-01-01,1.5
Processing,China,One-Time,2020-07-01,1.5
Processing,United States,One-Time,2023-01-01,1.5
Returned,Brasil,One-Time,2023-10-01,0.0
Shipped,United States,Repeat,2021-02-01,1.5
Shipped,China,One-Time,2023-08-01,1.5
Processing,United States,Repeat,2023-12-01,1.51
Processing,China,One-Time,2023-04-01,1.51
Returned,United States,Repeat,2024-01-01,0.0
Shipped,United States,One-Time,2023-12-01,1.51
Shipped,United States,One-Time,2022-04-01,1.51
Cancelled,Spain,Repeat,2023-06-01,0.0
Processing,United States,Repeat,2022-09-01,1.72
Returned,United States,Repeat,2023-05-01,0.0
Shipped,South Korea,Repeat,2023-02-01,1.72
Cancelled,China,One-Time,2022-11-01,0.0
Complete,Brasil,One-Time,2023-11-01,1.75
Complete,Japan,One-Time,,1.75
Processing,United States,Repeat,2023-11-01,1.75
Processing,China,Repeat,2021-11-01,1.75
Cancelled,United States,Repeat,2020-12-01,0.0
Complete,China,Repeat,2023-04-01,1.82
Complete,China,Repeat,2023-10-01,1.82
Complete,United Kingdom,One-Time,2023-06-01,1.82
Complete,Brasil,One-Time,2023-11-01,1.82
Processing,France,One-Time,2023-11-01,1.82
Processing,United States,One-Time,2021-06-01,1.82
Processing,France,Repeat,2022-11-01,1.82
Shipped,South Korea,Repeat,2023-10-01,1.82
Shipped,China,One-Time,,1.82
Cancelled,China,One-Time,2024-01-01,0.0
Cancelled,Brasil,Repeat,2019-03-01,0.0
Cancelled,Brasil,Repeat,2023-12-01,0.0
Cancelled,Brasil,Repeat,2023-11-01,0.0
Cancelled,China,Repeat,2023-11-01,0.0
Complete,Belgium,One-Time,2022-08-01,1.95
Complete,United States,Repeat,2022-06-01,1.95
Complete,Brasil,Repeat,,1.95
Complete,Germany,Repeat,2023-01-01,1.95
Processing,China,Repeat,2023-11-01,1.95
Processing,China,Repeat,2023-02-01,1.95
Processing,United States,One-Time,2023-08-01,1.95
Processing,China,One-Time,2023-03-01,1.95
Returned,Brasil,One-Time,2023-03-01,0.0
Returned,Germany,Repeat,2022-09-01,0.0
Returned,United States,Repeat,2023-04-01,0.0
Returned,South Korea,One-Time,2022-01-01,0.0
Shipped,France,One-Time,2024-01-01,1.95
Shipped,Germany,Repeat,2023-10-01,1.95
Shipped,China,One-Time,2022-05-01,1.95
Shipped,Australia,Repeat,2022-06-01,1.95
Shipped,South Korea,One-Time,2021-04-01,1.95
Shipped,Belgium,One-Time,2023-08-01,1.95
Cancelled,China,Repeat,2023-08-01,0.0
Shipped,China,Repeat,2021-01-01,1.98
Cancelled,Germany,One-Time,2023-10-01,0.0
Complete,United States,Repeat,2022-12-01,2.5
Complete,China,Repeat,2023-04-01,2.5
Processing,South Korea,Repeat,2019-06-01,2.5
Processing,United States,Repeat,2023-02-01,2.5
Returned,United States,Repeat,2023-08-01,0.0
Shipped,United States,Repeat,2023-09-01,2.5
Complete,South Korea,One-Time,2021-12-01,2.59
Processing,China,Repeat,2023-09-01,2.59
Processing,United States,Repeat,2023-08-01,2.59
Returned,China,One-Time,2021-12-01,0.0
Returned,Germany,One-Time,2023-12-01,0.0
Shipped,Brasil,Repeat,2023-10-01,2.59
Shipped,France,Repeat,2023-03-01,2.59
